X,beta,r0,eta0,zeta0,Xout
dt=3fb604e3e700545d
3fd0775e802572fb,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe2f1baa3e01816
3fd3333333333333,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe3ff369131c984
3f50624dd2f1a9fc,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdb8eeca3273f84
3fa661b807058f11,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdd0ef80bd1f686
3fb6202ecfb9c869,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fde9f8f28d438d9
3fc087c0cdf864a5,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe021d179db7512
3fc5ff6a3413e515,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe0ffa05d68196b
3fcb77139a2f6585,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe1ec0e5a71edf2
3fd0775e802572fb,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe2eb3b9358e011
3fd3333333333333,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe40354c378f77b
3f50624dd2f1a9fc,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdb8eeca31cb7f7
3fa661b807058f11,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdd0eea086de31d
3fb6202ecfb9c869,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fde9f1d4c4af4c9
3fc087c0cdf864a5,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe02108296117f2
3fc5ff6a3413e515,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe0fda487847c02
3fcb77139a2f6585,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe1e7df95d974b7
3fd0775e802572fb,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe2e34ddb497ec3
3fd3333333333333,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe3f53faa385fd0
3f50624dd2f1a9fc,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdb8eeca3123068
3fa661b807058f11,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdd0edc05627fec
3fb6202ecfb9c869,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fde9eab7cac6702
3fc087c0cdf864a5,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe0203f14a6ab24
3fc5ff6a3413e515,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe0fba9ea786922
3fcb77139a2f6585,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe1e3b58908d357
3fd0775e802572fb,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe2db6f4de4eed2
3fd3333333333333,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe3e7560d56a97b
3f50624dd2f1a9fc,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdb8eeca307a8db
3fa661b807058f11,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdd0ece02afcadb
