X,beta,r0,eta0,zeta0,Xout
dt=3fb604e3e700545d
3f50624dd2f1a9fc,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe4ee76ea0698c4
3fa661b807058f11,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe5ee7492f23f10
3fb6202ecfb9c869,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe6ff7ed972e4cd
3fc087c0cdf864a5,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe82939a3ffdd23
3fc5ff6a3413e515,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe97816bb704f34
3fcb77139a2f6585,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3feb02253f9b673d
3fd0775e802572fb,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fecf3b8897597d2
3fd3333333333333,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fefba560a6f61c1
3f50624dd2f1a9fc,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe4ee76b47343ab
3fa661b807058f11,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe5ecac3394ddeb
3fb6202ecfb9c869,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe6f76b713109d2
3fc087c0cdf864a5,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe813e60886dfb3
3fc5ff6a3413e515,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe94a24fbec5b6b
3fcb77139a2f6585,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3feaa7648ec681c5
3fd0775e802572fb,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fec43778ed0ece6
3fd3333333333333,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fee4f61ed786f68
3f50624dd2f1a9fc,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe4ed6029b241f3
3fa661b807058f11,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe5c207d26561c8
3fb6202ecfb9c869,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe6af46bc4cadf3
3fc087c0cdf864a5,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe7bffd5942fee7
3fc5ff6a3413e515,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe90734f667e48e
3fcb77139a2f6585,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3feaaa6de7fe1c1d
3fd0775e802572fb,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fed02d91b878860
3fd3333333333333,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3ff0a13ed85dbc0e
3f50624dd2f1a9fc,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe4ed5ff429d025
3fa661b807058f11,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe5c04df2dbeacf
3fb6202ecfb9c869,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe6a7a75db6506f
3fc087c0cdf864a5,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe7ac312057f7ed
3fc5ff6a3413e515,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe8dcaa8930217a
3fcb77139a2f6585,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fea54842bc2ea7b
3fd0775e802572fb,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fec4f3e82399b37
3fd3333333333333,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fef758994f282e1
3f50624dd2f1a9fc,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe4ed5fbea1606b
3fa661b807058f11,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe5be94a27853e4
3fb6202ecfb9c869,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe6a012e40a93d8
3fc087c0cdf864a5,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe798adb05a46ae
3fc5ff6a3413e515,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe8b368932eb4ff
3fcb77139a2f6585,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fea039b1e860208
3fd0775e802572fb,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3febafa82512f256
3fd3333333333333,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fee1445df9f803f
3f50624dd2f1a9fc,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe4ed5f8918f2c8
3fa661b807058f11,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe5bcdbe0ebb796
3fb6202ecfb9c869,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe6988934ad8b61
